geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Salt Lake City,driving,NA,Utah,United States,2020-08-01,170.03
city,Salt Lake City,driving,NA,Utah,United States,2020-08-02,108.38
city,Salt Lake City,driving,NA,Utah,United States,2020-08-03,152.32
city,Salt Lake City,driving,NA,Utah,United States,2020-08-04,158.62
city,Salt Lake City,driving,NA,Utah,United States,2020-08-05,159.94
city,Salt Lake City,driving,NA,Utah,United States,2020-08-06,169.68
city,Salt Lake City,driving,NA,Utah,United States,2020-08-07,195.04
city,Salt Lake City,driving,NA,Utah,United States,2020-08-08,172.89
city,Salt Lake City,driving,NA,Utah,United States,2020-08-09,108.89
city,Salt Lake City,driving,NA,Utah,United States,2020-08-10,153.27
city,Salt Lake City,driving,NA,Utah,United States,2020-08-11,158.6
city,Salt Lake City,driving,NA,Utah,United States,2020-08-12,163
city,Salt Lake City,driving,NA,Utah,United States,2020-08-13,167.01
city,Salt Lake City,driving,NA,Utah,United States,2020-08-14,184.6
city,Salt Lake City,driving,NA,Utah,United States,2020-08-15,172.1
city,Salt Lake City,driving,NA,Utah,United States,2020-08-16,110.03
city,Salt Lake City,driving,NA,Utah,United States,2020-08-17,154.78
city,Salt Lake City,driving,NA,Utah,United States,2020-08-18,158.22
city,Salt Lake City,driving,NA,Utah,United States,2020-08-19,161.4
city,Salt Lake City,driving,NA,Utah,United States,2020-08-20,169.65
city,Salt Lake City,driving,NA,Utah,United States,2020-08-21,186.47
city,Salt Lake City,driving,NA,Utah,United States,2020-08-22,175.87
city,Salt Lake City,driving,NA,Utah,United States,2020-08-23,107.37
city,Salt Lake City,driving,NA,Utah,United States,2020-08-24,150.86
city,Salt Lake City,driving,NA,Utah,United States,2020-08-25,151.23
city,Salt Lake City,driving,NA,Utah,United States,2020-08-26,153.37
city,Salt Lake City,driving,NA,Utah,United States,2020-08-27,159.18
city,Salt Lake City,driving,NA,Utah,United States,2020-08-28,185.85
city,Salt Lake City,driving,NA,Utah,United States,2020-08-29,179.86
city,Salt Lake City,driving,NA,Utah,United States,2020-08-30,106.68
city,Salt Lake City,driving,NA,Utah,United States,2020-08-31,143.44
city,Salt Lake City,driving,NA,Utah,United States,2020-09-01,149.75
city,Salt Lake City,driving,NA,Utah,United States,2020-09-02,151.41
city,Salt Lake City,driving,NA,Utah,United States,2020-09-03,162.07
city,Salt Lake City,driving,NA,Utah,United States,2020-09-04,186.1
city,Salt Lake City,driving,NA,Utah,United States,2020-09-05,166.19
city,Salt Lake City,driving,NA,Utah,United States,2020-09-06,105.91
city,Salt Lake City,driving,NA,Utah,United States,2020-09-07,126
city,Salt Lake City,driving,NA,Utah,United States,2020-09-08,136.68
city,Salt Lake City,driving,NA,Utah,United States,2020-09-09,154.11
city,Salt Lake City,driving,NA,Utah,United States,2020-09-10,160.89
city,Salt Lake City,driving,NA,Utah,United States,2020-09-11,184.23
city,Salt Lake City,driving,NA,Utah,United States,2020-09-12,189.17
city,Salt Lake City,driving,NA,Utah,United States,2020-09-13,107.77
city,Salt Lake City,driving,NA,Utah,United States,2020-09-14,145.57
city,Salt Lake City,driving,NA,Utah,United States,2020-09-15,148.95
city,Salt Lake City,driving,NA,Utah,United States,2020-09-16,153.52
city,Salt Lake City,driving,NA,Utah,United States,2020-09-17,160.08
city,Salt Lake City,driving,NA,Utah,United States,2020-09-18,181.81
city,Salt Lake City,driving,NA,Utah,United States,2020-09-19,179.61
city,Salt Lake City,driving,NA,Utah,United States,2020-09-20,104.44
city,Salt Lake City,driving,NA,Utah,United States,2020-09-21,134.39
city,Salt Lake City,driving,NA,Utah,United States,2020-09-22,139.25
city,Salt Lake City,driving,NA,Utah,United States,2020-09-23,141.5
city,Salt Lake City,driving,NA,Utah,United States,2020-09-24,149.91
city,Salt Lake City,driving,NA,Utah,United States,2020-09-25,175.55
city,Salt Lake City,driving,NA,Utah,United States,2020-09-26,177.13
city,Salt Lake City,driving,NA,Utah,United States,2020-09-27,99.79
city,Salt Lake City,driving,NA,Utah,United States,2020-09-28,134.41
city,Salt Lake City,driving,NA,Utah,United States,2020-09-29,133.09
city,Salt Lake City,driving,NA,Utah,United States,2020-09-30,135.39
