geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-29,285.63
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-30,331.58
county,Belknap County,driving,NA,New Hampshire,United States,2020-08-31,224.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-01,218.41
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-02,207.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-03,228.2
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-04,361.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-05,392.77
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-06,389.39
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-07,419.77
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-08,222.9
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-09,203.65
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-10,203.89
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-11,256.55
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-12,309.24
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-13,252.46
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-14,179.21
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-15,180.13
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-16,182.73
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-17,197.35
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-18,254.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-19,304.09
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-20,236.76
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-21,180
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-22,186.47
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-23,183.79
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-24,191.92
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-25,256.63
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-26,319.61
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-27,278.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-28,186.32
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-29,182.21
county,Belknap County,driving,NA,New Hampshire,United States,2020-09-30,159.6
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-01,190.36
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-02,222.2
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-03,349.76
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-04,302.4
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-05,171.2
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-06,174.17
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-07,167.16
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-08,192
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-09,279.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-10,377
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-11,342.53
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-12,255.69
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-13,152.29
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-14,173.29
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-15,181.78
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-16,193.34
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-17,239.28
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-18,215.89
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-19,157.7
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-20,154.13
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-21,151.17
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-22,171.53
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-23,197.99
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-24,238.73
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-25,182.88
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-26,136.7
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-27,143.92
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-28,135.31
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-29,135.59
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-30,153.16
county,Belknap County,driving,NA,New Hampshire,United States,2020-10-31,158.71
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-01,130.28
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-02,127.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-03,124.09
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-04,114.65
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-05,123.77
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-06,149.19
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-07,182.18
county,Belknap County,driving,NA,New Hampshire,United States,2020-11-08,146.02
